                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.75658,                 2.0601,                 2.0145,                 1.1319,                0.63962,                 0.7621,                0.71098,                0.59716,                0.59056,                0.70886,                0.62921,                0.51561,                0.55393,                 1.1665,                 1.1944,                0.99193,                0.07021,                0.00331,                0.00331
                      1,                0.70053,                 1.7038,                 1.2522,                 1.0871,                0.75996,                0.70803,                 0.7735,                0.61736,                0.71654,                0.66026,                0.70508,                0.54623,                0.66399,                 1.2468,                0.98971,                 1.0862,               0.039947,              0.0063803,              0.0063803
                      2,                0.79514,                 1.8309,                 1.2437,                 1.1342,                0.72633,                0.63529,                0.69192,                0.50834,                0.68579,                0.59701,                0.61409,                0.41959,                0.86501,                 1.7743,                 1.1982,                 1.2283,              0.0094196,              0.0091865,              0.0091865
                      3,                0.90283,                 2.0499,                 1.3324,                 1.1985,                0.69984,                0.61169,                0.64599,                0.42559,                0.66362,                0.54727,                0.55989,                0.36634,                 1.0815,                 2.1668,                 1.5293,                 1.4113,               0.008812,               0.008812,               0.008812
                      4,                0.90558,                 1.9982,                 1.2882,                  1.202,                0.73671,                0.66913,                0.74001,                0.52639,                0.72776,                 0.5931,                0.65149,                0.45395,                0.91629,                 1.7077,                 1.0988,                 1.2631,               0.008812,               0.008812,               0.008812
                      5,                0.91856,                 1.9809,                 1.2515,                 1.2096,                0.68265,                0.66517,                0.67807,                0.48687,                0.63575,                0.61623,                0.60433,                0.43219,                0.97255,                 1.7835,                 1.2542,                 1.3324,               0.008416,               0.008416,               0.008416
                      6,                0.87941,                  1.921,                 1.1926,                 1.1856,                0.75511,                0.67042,                0.74045,                0.53547,                 0.7139,                 0.6137,                0.65188,                0.48533,                0.88506,                 1.5814,                 1.1288,                 1.2773,                0.00802,                0.00802,                0.00802
                      7,                0.87391,                 1.9262,                 1.1862,                 1.1815,                0.74614,                0.68908,                0.77624,                 0.5993,                 0.6932,                 0.6244,                0.66054,                0.48673,                0.84862,                 1.5835,                 1.0259,                 1.2426,               0.007624,               0.007624,               0.007624
                      8,                0.83324,                 1.8228,                 1.1027,                 1.1547,                  0.859,                0.74261,                0.82166,                0.64268,                0.80693,                0.69594,                0.74662,                0.56133,                 0.7882,                 1.3936,                0.85154,                 1.1641,               0.007228,               0.007228,               0.007228
                      9,                0.79594,                 1.7158,                 1.0404,                 1.1273,                0.80553,                0.74853,                  0.833,                0.65855,                0.75386,                0.69775,                0.74975,                0.55731,                0.75923,                 1.5161,                0.86314,                 1.1733,               0.006832,               0.006832,               0.006832
